Id,Heading,Politik,Utbildning,Religion,Miljo,Ekonomi,LivsstilFritt,SamhalleKonflikter,Halsa,Idrott,VetenskapTeknik
1,Åtalad advokat frias från stämpling till mord,0,0,0,0,0,0,1,0,0,0
2,”The office” 20 år – så sprängde Ricky Gervais humorvallen med tidernas roligaste tv-serie,0,0,0,0,0,1,0,0,0,0
3,Fusk med folkbokföringen ska stoppas,0,0,0,0,0,0,1,0,0,0
4,Niklas Orrenius: För mig ligger det svenska hjärtlandet både i storstaden och småstaden,0,0,0,0,0,1,0,0,0,0
5,Fängslande surrealistisk film på Mjellby konstmuseum,0,0,0,0,0,1,0,0,0,0
6,Fullbokad skärgård när säsongen rivstartar,0,0,0,0,0,1,0,0,0,0
7,Historisk friidrottsstjärna lägger av,0,0,0,0,0,0,0,0,1,0
8,570 vaccinerade i satsning mot svårnådda grupper,0,0,0,0,0,0,0,1,0,0
9,Svenska friidrottsprofiler i allvarlig bilolycka,0,0,0,0,0,0,1,0,1,0
10,Svårt för EU att enas om migrationspolitik,0,0,0,0,0,0,1,0,0,0
11,Stort husras i Miami Beach,0,0,0,0,0,0,1,0,0,0
12,Wesström lämnar AIK efter 22 år,0,0,0,0,0,0,0,0,1,0
13,Ny undersökning: Pris största hindret för att handla mer klimatvänligt,0,0,0,1,1,0,0,0,0,0
14,Tomas Ledin rasar mot Liberalerna,1,0,0,0,0,0,0,0,0,0
15,Stor utställning visar hur vikingar verkligen levde,0,0,0,0,0,1,0,0,0,0
16,"Ciceron, slunk och slup - kan du veckans ord?",0,0,0,0,0,1,0,0,0,0
17,Guide till en golfmajor: Sista chansen att knipa en OS-biljett,0,0,0,0,0,0,0,0,1,0
18,Nya Zeeland världsmästare i cricket,0,0,0,0,0,0,0,0,1,0
19,Islanders tvingade fram avgörande match,0,0,0,0,0,0,0,0,1,0
20,Lönelista: Trafikverkets chef fortsatt bäst betald,0,0,0,0,1,0,0,0,0,0
21,Rehabiliteringsfasen nästa stora steg i pandemin,0,0,0,0,0,0,0,1,0,0
22,Lisa Magnusson: Det är dags att låta Olof Palme vila,1,0,0,0,0,0,0,0,0,0
23,Svenska fans stoppas från åttondelsfinal,0,0,0,0,0,0,0,0,1,0
24,Johan Hilton: Sorgligt att se skådespelare förslösas så här,0,0,0,0,0,1,0,0,0,0
25,Dubbelt så många VAR-domare tystar kritiker,0,0,0,0,0,0,0,0,1,0
26,S-profiler kritiska mot krav om sänkta skatter,1,0,0,0,1,0,0,0,0,0
27,Albin Ekdal: ”Nära på att svimma och spy”,0,0,0,1,0,0,0,0,1,0
28,Ett år efter protestvågen – vad händer nu?,0,0,0,0,0,0,1,0,0,0
29,Fel spermadonator stod som pappa i journalen,0,0,0,0,0,0,1,0,0,0
30,Insändare. ”Bygg billiga bostäder så att äldre kan flytta”,0,0,0,0,1,0,0,0,0,0
31,Första domen efter stormningen i USA,1,0,0,0,0,0,1,0,0,0
32,Britney Spears i rätten: ”Vill ha mitt liv tillbaka”,0,0,0,0,0,1,1,0,0,0
33,Ett år efter protestvågen mot rasism och polisvåld – vad händer nu?,1,0,0,0,0,0,1,0,0,0
34,Tyskland minuter från fiasko i ”dödens grupp”,0,0,0,0,0,0,0,0,1,0
35,Datavirusexperten McAfee hittad död i cell,0,0,0,0,0,0,1,0,0,1
36,Sverige möter Ukraina i åttondelsfinalen,0,0,0,0,0,0,0,0,1,0
37,Utgången fortsatt oviss – kan krävas extraval,1,0,0,0,0,0,0,0,0,0
38,Prinsessans advokat: Latifa är fri att resa,0,0,0,0,0,1,1,0,0,0
39,Eldebrinks dröm: Avsluta med ett VM,0,0,0,0,0,0,0,0,1,0
40,Harrison Ford skadad under filminspelning,0,0,0,0,0,1,0,0,0,0
41,Högströms hörna: Vindarna viskar Viktor Claessons namn,0,0,0,0,0,0,0,0,1,0
42,Efter poputflykten rockar Sleater-Kinney loss igen,0,0,0,0,0,1,0,0,0,0
43,Hopp om behandling av svårbotad barncancer,0,0,0,0,0,0,0,1,0,0
44,Damberg öppen för C-krav om skattesänkningar,1,0,0,0,1,0,0,0,0,0
45,Forsbergs nya succé: ”Nästan att jag får flytta hit”,0,0,0,0,0,0,0,0,1,0
46,Johan Esk: Det går inte att överdriva betydelsen av VM-kungens mål,0,0,0,0,0,0,0,0,1,0
47,Deltavarianten kan fördröja lättnader i Värmland,0,0,0,0,0,0,0,1,0,0
48,Så funkar apparaterna som ska göra det svalare,0,0,0,1,1,0,0,0,0,0
49,Claessons mål kalldusch för Spanien,0,0,0,0,0,0,0,0,1,0
50,DN Debatt. ”Stark arbetarrörelse viktigare än regeringsmakten för S”,1,0,0,0,0,0,0,0,0,0
51,Sverige utslaget ur basket-EM,0,0,0,0,0,0,0,0,1,0
52,Nya bilvägar stoppas i Wales – för klimatet,0,0,0,1,0,0,0,0,0,0
53,Detta händer nu – Löfvens två alternativ,1,0,0,0,0,0,0,0,0,0
54,Budgetfrågan kan stoppa Stefan Löfven,1,0,0,0,1,0,0,0,0,0
55,Ledare. Januariavtalet är enda alternativet till extravalet,1,0,0,0,0,0,0,0,0,0
56,Karin Bojs: Nu öppnas ett nytt fönster till vår förhistoria,0,0,0,0,0,1,0,0,0,0
57,Sverige vann gruppen – drama på stopptid,0,0,0,0,0,0,0,0,1,0
58,Insändare. Svar: ”Att vilja förbjuda barn att fasta under ramadan är islamofobi”,0,0,1,0,0,0,0,0,0,0
59,Insändare. ”Häxjakten på kor måste få ett slut”,0,0,0,1,0,0,0,0,0,0
60,C backar från förslaget om fri hyressättning,1,0,0,0,0,0,0,0,0,0
61,Insändare. ”Bilda mittenregering och stäng dörren till ytterkanter”,1,0,0,0,0,0,0,0,0,0
62,”Chaos walking” är en tungfotad pojkboksfantasi,0,0,0,0,0,1,0,0,0,0
63,Toppmöte om Libyen andas försiktig optimism,0,0,0,0,0,0,1,0,0,0
64,Insändare. ”Spela musik som passar även äldre i P4”,0,0,0,0,0,1,0,0,0,0
65,Insändare. ”EU:s flyktingläger i Grekland måste få ett slut”,0,0,0,0,0,0,1,0,0,0
66,Dementerar uppgifter om ryska varningsskott,0,0,0,0,0,0,1,0,0,0
67,Ny tåglinje förbinder Stockholm och Berlin,0,0,0,0,0,1,0,0,0,0
68,Marianne Björklund: Journalister har redan börjat bedriva självcensur,0,0,0,0,0,0,1,0,0,0
69,Erik Helmerson: Trakasserierna visar vad Kinas löften är värda,0,0,0,0,1,0,1,0,0,0
